CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
600,France,Female,18 - 29,8,98373,1,yes,no,18203,no
700,Germany,Male,50 - 59,2,133745,4,yes,no,28373,yes
800,France,Male,18 - 29,6,0,1,yes,no,33953,no
600,Spain,Female,30 - 39,0,163607,1,no,yes,44203,no
600,Germany,Female,18 - 29,5,157780,2,yes,yes,58426,no
500,France,Male,30 - 39,9,0,2,no,yes,145562,no
700,France,Female,18 - 29,1,178718,2,yes,no,22388,no
600,France,Male,50 - 59,8,0,2,yes,yes,139161,no
600,France,Female,30 - 39,9,0,1,yes,yes,148210,no
700,Spain,Male,30 - 39,5,77253,1,no,yes,194239,no
400,Germany,Female,40 - 49,10,122189,2,yes,no,98301,no
600,France,Female,30 - 39,1,96645,2,no,no,171413,no
700,France,Female,30 - 39,2,0,1,yes,no,136458,yes
500,France,Female,30 - 39,3,0,2,no,no,26019,no
500,France,Female,30 - 39,4,90307,1,yes,yes,159235,no
400,France,Female,40 - 49,4,0,2,yes,no,1907,no
600,Spain,Female,70 - 79,10,0,2,yes,yes,114675,no
700,Spain,Male,18 - 29,3,121681,1,yes,no,128643,yes
700,France,Male,30 - 39,9,0,2,yes,no,151869,no
600,France,Female,40 - 49,4,0,3,yes,no,93251,yes
600,Germany,Female,18 - 29,3,81623,2,yes,yes,156791,no
600,Spain,Female,40 - 49,5,0,3,yes,yes,174205,yes
800,France,Male,40 - 49,7,118626,2,yes,no,147132,no
500,France,Female,30 - 39,10,0,2,yes,no,109614,no
700,France,Male,18 - 29,8,0,2,yes,yes,172290,no
700,Spain,Male,40 - 49,4,0,2,no,yes,85982,no
500,Spain,Male,30 - 39,10,176273,1,no,yes,121277,no
700,Spain,Male,40 - 49,9,102827,1,no,yes,64595,no
800,Germany,Male,18 - 29,8,97086,2,yes,yes,197276,no
700,Spain,Male,18 - 29,8,0,2,no,no,99645,no
400,France,Male,30 - 39,9,0,2,no,no,6534,no
600,France,Female,40 - 49,6,0,1,yes,yes,161848,no
600,France,Female,40 - 49,6,0,2,no,no,167162,no
700,France,Male,30 - 39,9,82674,1,yes,no,41970,no
500,Spain,Male,30 - 39,7,0,2,yes,no,60536,no
600,Spain,Female,60 - 69,1,0,1,yes,yes,177655,yes
600,Spain,Female,40 - 49,4,107073,2,yes,yes,30984,yes
500,Germany,Male,30 - 39,1,88938,1,yes,yes,10054,no
700,Germany,Female,30 - 39,2,99806,1,no,yes,36976,no
600,Spain,Male,30 - 39,5,150092,1,no,no,71862,no
400,Germany,Male,30 - 39,9,92833,1,yes,no,99449,yes
600,Germany,Male,30 - 39,3,90536,1,no,yes,63082,no
500,Germany,Male,30 - 39,7,108055,2,yes,no,27231,no
500,France,Male,40 - 49,2,100238,1,no,no,86797,no
600,Spain,Male,30 - 39,9,106190,1,no,yes,22994,no
700,Germany,Male,18 - 29,9,154475,2,no,yes,101300,yes
600,Germany,Female,30 - 39,9,132351,2,yes,yes,74169,no
600,Germany,Female,30 - 39,6,167864,1,yes,no,115638,no
500,France,Female,40 - 49,1,0,2,yes,no,31766,no
500,Germany,Female,30 - 39,8,107818,1,yes,no,199725,yes
600,Germany,Male,30 - 39,4,185173,2,yes,no,120834,no
800,France,Male,30 - 39,8,129433,2,no,no,38131,no
600,Spain,Male,30 - 39,6,120193,1,no,no,100130,no
600,France,Female,30 - 39,6,0,2,yes,no,141069,no
600,Germany,Female,40 - 49,10,126384,1,yes,yes,198129,no
600,France,Female,18 - 29,3,0,1,no,no,183646,no
400,France,Male,40 - 49,9,152603,1,yes,no,110265,yes
500,France,Female,50 - 59,1,0,1,no,yes,8636,yes
600,Germany,Male,50 - 59,0,148507,1,yes,no,46824,yes
800,France,Female,40 - 49,7,0,2,yes,no,171378,no
700,France,Male,18 - 29,9,101827,1,yes,no,167256,no
700,France,Female,30 - 39,3,0,2,yes,yes,124226,no
700,Germany,Female,30 - 39,9,130862,1,yes,yes,114935,no
600,France,Male,30 - 39,9,122570,1,yes,yes,35608,no
600,France,Male,18 - 29,1,0,2,no,yes,16459,no
700,Germany,Male,30 - 39,7,124828,2,yes,yes,124411,no
500,Germany,Female,50 - 59,5,144895,2,yes,yes,34941,no
400,Germany,Female,30 - 39,5,63663,1,no,yes,167784,no
600,France,Male,40 - 49,2,133463,1,no,yes,93165,no
500,Spain,Female,40 - 49,2,213146,1,yes,no,75161,yes
500,Spain,Female,30 - 39,1,129490,2,no,yes,8590,yes
700,Germany,Male,40 - 49,10,137452,1,yes,no,189543,no
600,France,Male,30 - 39,7,0,2,yes,yes,180427,no
600,France,Female,40 - 49,5,125851,1,yes,yes,193318,no
700,Spain,Male,50 - 59,2,0,1,yes,no,159123,yes
600,France,Female,30 - 39,5,40915,1,yes,no,126213,yes
400,Spain,Female,18 - 29,5,113157,1,yes,yes,54141,no
600,Spain,Female,18 - 29,8,138296,2,yes,no,141075,no
600,France,Male,30 - 39,5,106967,1,no,no,24495,no
700,France,Male,40 - 49,9,120681,1,yes,no,74836,no
400,France,Male,30 - 39,0,0,2,no,yes,878,no
700,Spain,Female,30 - 39,7,0,2,yes,no,89520,no
500,France,Female,40 - 49,9,0,1,yes,no,149892,yes
700,Spain,Male,40 - 49,8,0,2,yes,no,180800,no
500,France,Male,30 - 39,2,127609,1,yes,no,98646,no
600,France,Female,40 - 49,6,0,2,yes,yes,109041,no
700,Spain,Male,50 - 59,7,0,1,yes,no,17941,yes
700,France,Female,30 - 39,7,0,2,no,no,82996,no
500,Spain,Female,18 - 29,2,0,2,yes,yes,92067,no
600,France,Female,70 - 79,6,97259,1,no,yes,104719,no
600,Germany,Female,30 - 39,4,123246,1,no,no,112687,no
700,Spain,Female,18 - 29,6,101060,1,no,yes,84699,no
600,France,Male,30 - 39,2,0,2,yes,no,83473,no
800,France,Female,40 - 49,7,108007,1,no,no,47125,no
700,Spain,Female,30 - 39,2,0,2,yes,yes,106977,no
600,Spain,Male,18 - 29,0,133702,1,yes,no,55582,yes
600,Germany,Male,30 - 39,9,125189,2,yes,yes,139874,no
700,Germany,Female,18 - 29,7,113034,1,yes,no,162503,yes
600,Spain,Female,40 - 49,9,109013,1,yes,no,196499,no
600,Spain,Female,30 - 39,2,0,2,yes,no,40721,yes
600,Germany,Male,18 - 29,9,57929,2,no,no,53134,no
400,France,Female,18 - 29,4,130114,1,yes,no,164017,no
600,Germany,Male,18 - 29,5,95826,2,yes,no,155996,no
400,Germany,Male,40 - 49,10,129608,1,yes,no,5472,yes
500,France,Male,30 - 39,4,169462,1,yes,no,112187,no
500,France,Male,40 - 49,5,0,2,yes,yes,146457,no
400,Spain,Female,30 - 39,7,133868,1,yes,yes,27286,no
500,France,Female,30 - 39,0,0,2,yes,yes,130553,no
600,Germany,Male,30 - 39,5,190479,2,no,no,179351,no
500,Spain,Female,40 - 49,8,101993,1,no,yes,94774,no
700,Germany,Female,50 - 59,3,161608,1,yes,no,8080,yes
800,Spain,Female,40 - 49,2,122311,1,yes,yes,19482,no
500,France,Male,60 - 69,2,0,2,yes,yes,48071,no
700,Germany,Female,40 - 49,1,162150,2,yes,no,174531,no
600,France,Male,40 - 49,2,0,2,yes,yes,55470,no
800,France,Female,50 - 59,4,0,1,yes,yes,8546,yes
500,France,Male,30 - 39,8,0,2,yes,no,95857,no
700,France,Female,30 - 39,1,99010,1,yes,no,194945,no
500,Spain,Female,30 - 39,0,0,1,no,yes,131521,no
600,Spain,Male,30 - 39,5,0,2,no,yes,196108,no
600,Germany,Female,30 - 39,7,111388,2,yes,no,148564,no
700,France,Female,40 - 49,8,56214,2,no,no,92982,yes
500,France,Female,30 - 39,3,84327,2,yes,no,17675,no
400,France,Male,40 - 49,1,0,2,no,no,114996,no
600,France,Male,30 - 39,8,93012,1,yes,no,86957,no
500,Spain,Male,18 - 29,9,61710,2,yes,no,128077,no
800,France,Male,30 - 39,3,174790,1,yes,yes,600,no
600,Spain,Female,30 - 39,6,0,2,yes,yes,43001,no
700,Germany,Male,30 - 39,3,107720,1,yes,yes,158591,no
500,France,Male,50 - 59,10,0,2,yes,yes,47847,no
500,France,Male,30 - 39,6,96423,1,yes,no,10488,no
800,Spain,Male,30 - 39,2,141040,1,yes,yes,5978,no
700,France,Male,40 - 49,4,105420,1,no,yes,121409,no
500,Spain,Male,50 - 59,5,0,1,no,yes,146145,yes
700,France,Female,30 - 39,2,129022,2,yes,yes,14374,yes
500,Spain,Male,30 - 39,3,176666,1,yes,no,94670,no
500,France,Male,30 - 39,3,0,1,yes,yes,179670,no
600,Spain,Female,40 - 49,3,89763,1,no,no,199304,yes
600,France,Male,30 - 39,5,134954,1,yes,yes,151954,no
600,France,Male,40 - 49,5,0,1,yes,no,142513,yes
600,France,Male,40 - 49,2,106376,1,no,yes,158264,no
600,Germany,Male,30 - 39,2,161814,2,yes,no,169381,no
600,France,Male,30 - 39,8,0,2,yes,yes,169915,no
600,France,Female,40 - 49,9,0,2,no,no,88852,no
600,France,Female,30 - 39,1,63095,1,yes,yes,40645,no
500,Germany,Male,18 - 29,4,118287,2,no,no,60427,no
600,Germany,Male,40 - 49,7,106854,1,no,yes,157959,yes
600,France,Male,40 - 49,7,49512,1,yes,no,133007,no
700,Spain,Female,30 - 39,9,0,2,no,no,176576,no
800,France,Male,40 - 49,1,105799,2,yes,no,34888,yes
500,France,Male,50 - 59,8,0,1,yes,yes,28737,yes
700,France,Female,30 - 39,9,114722,2,yes,yes,98178,no
500,Spain,Male,30 - 39,7,0,1,no,yes,125010,no
500,France,Male,40 - 49,2,0,2,yes,yes,167984,no
800,France,Male,30 - 39,10,0,1,yes,no,4861,yes
600,Germany,Male,40 - 49,6,99564,1,yes,yes,108872,yes
600,France,Male,30 - 39,4,170557,2,yes,no,198252,no
600,France,Female,30 - 39,9,0,2,yes,yes,26960,no
500,Germany,Female,30 - 39,6,74596,3,yes,yes,85746,yes
700,Germany,Male,50 - 59,2,96888,1,yes,no,77206,yes
500,Germany,Female,18 - 29,3,130830,1,yes,no,61048,no
600,France,Male,70 - 79,1,0,2,no,yes,111981,no
600,France,Male,40 - 49,0,0,2,yes,no,62232,no
500,France,Female,30 - 39,1,0,2,no,yes,156105,no
700,Germany,Male,18 - 29,3,119714,2,no,yes,150135,no
500,France,Female,60 - 69,5,113978,2,no,yes,93146,no
700,Germany,Male,40 - 49,6,100160,1,yes,no,33462,yes
700,France,Female,18 - 29,2,0,1,yes,yes,144375,no
500,Germany,Female,40 - 49,3,116220,3,yes,no,55803,yes
600,France,Female,40 - 49,2,0,3,yes,no,89048,yes
700,France,Male,18 - 29,2,81173,2,no,yes,162812,no
600,Spain,Male,30 - 39,4,0,2,yes,no,136259,no
700,Germany,Female,30 - 39,5,116803,1,yes,no,124052,no
700,France,Male,30 - 39,8,105961,2,no,yes,74158,no
600,Germany,Male,60 - 69,6,117411,1,yes,yes,45071,yes
500,Spain,Male,30 - 39,7,0,2,yes,no,62030,no
600,France,Female,40 - 49,10,123497,1,yes,no,131953,yes
700,Germany,Male,18 - 29,7,152400,2,yes,no,79414,no
500,France,Female,18 - 29,1,0,2,yes,yes,199638,no
600,Germany,Male,18 - 29,8,103097,1,yes,yes,157577,no
700,Germany,Male,50 - 59,8,126418,1,yes,no,134420,yes
700,Germany,Female,30 - 39,5,77846,1,no,no,99805,no
500,Spain,Female,30 - 39,1,0,2,yes,yes,97932,no
600,France,Female,70 - 79,0,0,2,no,yes,170968,no
500,Germany,Male,30 - 39,2,79731,1,yes,yes,57558,no
600,Spain,Male,18 - 29,8,0,1,no,no,176713,no
700,Spain,Male,40 - 49,0,0,2,no,yes,34283,no
700,France,Male,30 - 39,10,0,2,yes,yes,198637,no
600,Germany,Female,30 - 39,6,37266,2,no,no,156917,no
600,France,Female,30 - 39,6,127992,1,yes,yes,50457,no
800,Germany,Male,30 - 39,3,54901,1,yes,yes,140075,no
700,Germany,Male,40 - 49,9,108748,2,yes,yes,65323,no
700,Spain,Female,40 - 49,6,99906,1,yes,no,64323,no
500,France,Female,30 - 39,6,184686,2,yes,no,14956,no
600,France,Female,18 - 29,0,110654,1,no,yes,111879,no
700,Spain,Male,30 - 39,9,79019,1,yes,yes,18606,no
500,Spain,Female,30 - 39,9,99240,1,yes,no,123137,no
400,France,Male,30 - 39,2,0,2,yes,yes,148528,no
600,France,Male,30 - 39,7,0,2,yes,no,13898,no
500,Spain,Female,30 - 39,7,0,1,no,no,81259,yes
700,Germany,Female,30 - 39,7,52436,1,yes,no,161051,no
600,Spain,Male,40 - 49,9,0,2,no,yes,191599,no
700,Germany,Male,30 - 39,3,100337,3,yes,no,48559,yes
800,Germany,Female,30 - 39,1,149297,2,yes,yes,186339,no
700,France,Male,30 - 39,8,0,2,yes,no,33159,no
700,Germany,Male,18 - 29,4,145605,1,no,yes,93883,no
700,Spain,Female,30 - 39,7,0,2,yes,yes,110899,no
700,France,Male,60 - 69,3,0,1,yes,yes,11199,yes
700,France,Female,50 - 59,10,0,2,yes,no,189992,no
600,France,Male,30 - 39,6,84026,1,no,yes,164255,no
700,France,Male,40 - 49,1,0,1,yes,no,152167,yes
700,France,Male,30 - 39,8,0,2,yes,yes,33949,no
700,Spain,Male,18 - 29,10,0,2,yes,yes,68143,no
400,Germany,Male,30 - 39,4,138718,1,yes,yes,47251,yes
800,France,Male,40 - 49,7,118274,1,yes,yes,25885,no
700,France,Female,18 - 29,8,174185,2,no,yes,192633,no
600,France,Male,40 - 49,7,113208,2,yes,no,34577,no
600,Spain,Male,18 - 29,5,103907,1,yes,no,161229,no
400,France,Female,30 - 39,8,119023,1,yes,no,100816,no
700,Spain,Female,18 - 29,5,166297,1,yes,yes,181694,no
500,Spain,Male,30 - 39,10,0,2,yes,no,79078,no
700,Germany,Male,40 - 49,9,63227,1,no,yes,137316,no
700,Spain,Female,40 - 49,5,94521,2,yes,no,194926,no
500,France,Male,18 - 29,7,0,2,yes,no,51285,no
700,Spain,Female,30 - 39,9,112822,1,no,no,150401,yes
600,France,Male,30 - 39,3,0,2,yes,yes,112491,no
700,France,Male,18 - 29,2,135903,1,yes,no,73656,no
700,France,Female,30 - 39,4,125169,1,yes,yes,106636,no
600,Spain,Female,40 - 49,7,0,3,yes,no,155853,yes
500,France,Male,50 - 59,0,149117,1,yes,yes,162599,no
600,France,Male,30 - 39,5,0,2,yes,yes,103737,no
600,France,Female,30 - 39,10,0,2,yes,no,160990,no
600,Spain,Female,30 - 39,6,132311,1,no,no,15462,no
600,France,Male,30 - 39,8,0,2,yes,no,10334,no
700,France,Female,30 - 39,6,0,2,yes,yes,190686,no
500,France,Male,30 - 39,4,118082,1,no,no,94440,no
600,France,Male,30 - 39,1,119266,1,yes,yes,28257,no
700,France,Male,40 - 49,2,0,1,yes,yes,170034,yes
600,Germany,Male,30 - 39,7,156847,2,yes,no,31824,no
600,France,Male,50 - 59,4,137104,1,yes,no,127166,yes
400,Germany,Male,30 - 39,8,78398,1,yes,no,44937,no
600,France,Female,80 - 89,4,0,2,yes,yes,188603,no
700,Germany,Male,30 - 39,6,63669,1,yes,no,145111,no
600,France,Male,30 - 39,3,0,2,no,no,171463,no
800,Germany,Female,50 - 59,0,135296,1,yes,no,182822,no
700,Spain,Male,30 - 39,2,153804,1,yes,yes,87213,no
400,Spain,Male,30 - 39,3,0,2,no,no,57175,no
500,France,Male,40 - 49,2,147069,1,yes,no,120540,yes
700,Spain,Male,40 - 49,9,0,2,yes,yes,28714,no
600,Spain,Female,18 - 29,3,0,1,yes,no,85426,no
400,France,Male,18 - 29,4,95741,1,yes,no,46170,no
500,Spain,Female,50 - 59,2,145965,1,yes,yes,64448,no
600,France,Female,30 - 39,8,141441,1,yes,yes,16278,no
700,France,Male,40 - 49,1,139290,1,yes,no,182855,yes
700,France,Female,30 - 39,4,0,2,no,no,50404,no
700,France,Male,30 - 39,3,0,2,yes,no,107640,no
700,France,Male,30 - 39,4,144428,1,yes,no,134132,no
500,France,Male,30 - 39,2,0,2,yes,no,103480,no
600,France,Female,40 - 49,9,95441,1,yes,no,108761,yes
600,Germany,Male,30 - 39,1,144848,1,yes,yes,179012,no
600,Germany,Male,18 - 29,7,116244,2,yes,yes,95145,no
600,France,Male,50 - 59,7,0,2,no,yes,72143,no
600,Spain,Female,40 - 49,1,146502,1,yes,no,19162,no
600,Germany,Male,40 - 49,2,117028,2,no,yes,144680,no
500,Germany,Female,30 - 39,8,112013,1,yes,no,177772,yes
600,Spain,Female,30 - 39,6,108269,1,yes,no,5597,no
400,France,Male,18 - 29,7,182123,1,yes,no,116828,yes
600,Germany,Female,30 - 39,3,150923,2,no,yes,174652,no
600,France,Male,30 - 39,2,0,2,yes,no,2010,no
800,Spain,Female,30 - 39,5,165272,1,yes,no,14109,yes
700,Germany,Female,30 - 39,10,115301,1,yes,no,43527,yes
600,Germany,Female,40 - 49,6,129502,2,no,yes,86099,yes
600,France,Male,30 - 39,4,118342,1,no,no,161574,no
500,Spain,Female,40 - 49,5,0,2,yes,yes,38970,no
500,France,Male,18 - 29,8,0,2,no,no,127587,no
700,France,Female,18 - 29,7,0,2,yes,no,30380,no
800,France,Female,40 - 49,7,0,2,yes,no,90908,no
600,Germany,Female,30 - 39,9,106937,2,yes,no,138275,no
600,Germany,Male,50 - 59,3,170331,1,yes,yes,32171,no
600,Germany,Female,30 - 39,1,114510,1,yes,yes,126143,no
500,France,Male,30 - 39,5,0,2,yes,yes,129892,no
600,Spain,Male,30 - 39,3,107594,2,yes,yes,102416,no
700,Spain,Male,30 - 39,2,81273,1,yes,yes,18719,no
500,Spain,Female,30 - 39,7,169399,1,yes,no,61936,no
600,Spain,Male,18 - 29,6,0,2,yes,yes,78358,no
600,France,Female,40 - 49,1,187841,2,yes,yes,147224,no
500,France,Male,30 - 39,0,0,2,yes,no,160979,no
800,Spain,Female,50 - 59,8,126776,2,yes,yes,132298,no
500,Spain,Male,30 - 39,9,126436,1,yes,no,174248,yes
700,France,Male,40 - 49,1,101960,1,yes,yes,123547,no
500,France,Male,50 - 59,3,0,2,no,yes,32790,no
700,Spain,Male,18 - 29,3,0,2,no,yes,181543,no
600,Germany,Female,40 - 49,2,150842,1,no,yes,2319,yes
600,France,Female,50 - 59,9,102535,1,yes,yes,189543,no
400,Germany,Female,18 - 29,9,99027,2,yes,no,10940,no
600,France,Male,60 - 69,9,0,2,yes,yes,199493,no
600,Spain,Female,30 - 39,3,0,1,yes,yes,188193,no
500,Germany,Female,40 - 49,9,87271,2,yes,no,172572,no
400,Germany,Female,30 - 39,8,102742,2,yes,yes,189339,no
600,Germany,Male,30 - 39,2,40105,2,no,yes,53512,no
500,France,Female,18 - 29,2,152265,1,yes,no,34004,no
800,Spain,Male,40 - 49,4,141947,1,yes,yes,10598,no
600,Germany,Female,70 - 79,1,106307,2,no,yes,113428,no
600,Germany,Male,30 - 39,0,107884,2,yes,yes,183487,no
800,Germany,Male,30 - 39,1,125013,1,yes,yes,187658,no
700,Germany,Male,30 - 39,7,58469,2,yes,yes,172459,no
700,France,Female,30 - 39,8,0,1,no,yes,21016,no
700,Germany,Male,40 - 49,10,117231,3,yes,yes,122381,yes
500,Spain,Male,30 - 39,4,152390,1,yes,no,128123,no
600,Spain,Female,30 - 39,2,34013,1,yes,no,19570,no
600,Spain,Female,30 - 39,2,0,3,no,no,188150,yes
400,France,Female,50 - 59,9,0,2,yes,yes,111020,no
600,France,Male,30 - 39,7,101583,2,yes,no,123775,no
400,Germany,Female,30 - 39,10,77168,2,no,yes,146700,no
700,Germany,Male,18 - 29,8,124695,2,yes,no,145251,no
700,Germany,Male,40 - 49,3,105934,1,yes,no,82463,no
500,France,Female,60 - 69,9,0,1,yes,yes,15928,no
600,Spain,Male,40 - 49,6,0,2,yes,no,45886,no
700,Spain,Male,60 - 69,2,0,2,yes,yes,186489,no
700,Spain,Female,40 - 49,2,0,2,no,yes,162922,no
500,France,Female,18 - 29,10,161525,2,yes,no,9262,no
700,Germany,Female,18 - 29,7,147199,1,yes,yes,84932,no
700,Germany,Male,30 - 39,3,183102,1,yes,yes,71557,no
600,Spain,Male,40 - 49,9,127209,2,yes,no,77405,yes
500,Spain,Male,30 - 39,8,0,2,no,no,417,yes
500,Spain,Female,18 - 29,0,97378,1,yes,yes,71405,no
600,Germany,Female,30 - 39,2,136925,2,no,yes,153400,no
500,France,Male,30 - 39,3,54503,1,yes,yes,371,no
500,Germany,Male,30 - 39,8,155726,1,yes,no,67789,no
700,France,Female,30 - 39,9,0,2,no,yes,145894,no
600,France,Female,60 - 69,1,135842,1,yes,no,183840,yes
600,France,Male,50 - 59,1,63349,1,yes,no,108887,no
500,Germany,Female,30 - 39,4,129499,1,yes,yes,154071,no
700,Spain,Male,50 - 59,8,0,2,no,yes,179291,no
400,Spain,Male,30 - 39,6,70438,2,no,yes,56937,no
600,France,Male,18 - 29,8,0,2,yes,yes,112239,no
700,France,Male,30 - 39,9,0,1,yes,no,45909,no
500,Spain,Female,40 - 49,9,141434,1,no,no,173779,yes
600,Spain,Female,30 - 39,4,0,2,yes,no,125696,no
600,Germany,Male,30 - 39,10,152958,2,yes,yes,159585,no
500,Germany,Female,40 - 49,3,138306,1,yes,no,106761,no
700,Spain,Male,18 - 29,10,0,2,no,no,129590,no
800,France,Male,30 - 39,1,0,2,yes,yes,80006,no
700,Spain,Female,30 - 39,3,124328,1,yes,yes,140451,no
600,Germany,Female,40 - 49,9,181461,3,yes,yes,187929,yes
700,Spain,Male,30 - 39,8,0,2,yes,no,167155,no
600,Spain,Male,18 - 29,8,0,2,no,no,191420,no
400,Germany,Female,60 - 69,5,110368,1,no,no,11384,yes
500,France,Female,30 - 39,9,89588,1,yes,yes,94898,no
600,France,Female,40 - 49,6,0,2,no,no,106781,no
600,France,Female,18 - 29,6,0,2,no,no,159508,no
700,Germany,Female,60 - 69,3,115924,1,yes,no,93524,yes
500,France,Female,30 - 39,2,0,2,yes,no,87168,no
500,Germany,Male,40 - 49,7,111756,1,yes,no,8128,yes
600,France,Female,30 - 39,4,0,1,yes,no,125518,no
500,France,Male,30 - 39,9,0,1,yes,no,48963,no
600,France,Male,18 - 29,9,162923,1,yes,no,98368,no
400,Germany,Male,30 - 39,10,124576,2,yes,no,148584,no
700,France,Male,40 - 49,0,80793,1,yes,yes,27474,no
400,Germany,Female,40 - 49,9,71340,1,yes,no,76192,no
500,Germany,Male,40 - 49,1,99282,1,no,no,134600,yes
600,Germany,Male,50 - 59,3,137946,1,yes,yes,72467,yes
700,Germany,Male,40 - 49,2,127892,2,no,yes,199645,no
500,Germany,Female,30 - 39,0,101084,1,yes,no,42749,no
500,Germany,Female,30 - 39,8,114754,1,yes,no,136050,yes
600,France,Male,30 - 39,8,0,1,no,no,73564,no
700,France,Female,50 - 59,3,99286,1,no,yes,85578,no
600,Germany,Female,30 - 39,4,79871,2,yes,no,129826,no
500,France,Male,30 - 39,10,104088,2,no,no,119666,no
800,France,Female,30 - 39,2,168190,2,yes,no,68052,no
400,Germany,Female,40 - 49,3,85679,1,yes,yes,164104,no
600,France,Female,30 - 39,3,0,1,no,no,80190,no
700,France,Female,30 - 39,9,0,2,yes,no,84126,no
500,France,Female,30 - 39,7,121551,2,yes,yes,70179,no
700,France,Male,40 - 49,2,122220,1,yes,yes,118024,no
500,Spain,Male,40 - 49,3,116528,1,no,no,145704,yes
